Faturamento do dia;Data;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
R$2 541,75;31/10/2025;R$ 0,00;R$ 29,43;R$ 89,43;R$ 142,01;R$ 17,90;R$ 175,85;R$ 136,04;R$ 235,27;R$ 670,45;R$ 480,14;R$ 173,74;R$ 232,32;R$ 159,17;R$ 0,00;R$ 0,00
R$3 330,62;01/11/2025;R$ 15,21;R$ 56,18;R$ 380,49;R$ 291,72;R$ 89,92;R$ 107,04;R$ 222,78;R$ 253,80;R$ 503,36;R$ 573,10;R$ 232,99;R$ 501,10;R$ 118,14;R$ 0,00;R$ 0,00
R$1 588,65;02/11/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 101,93;R$ 43,29;R$ 129,96;R$ 112,07;R$ 445,87;R$ 116,64;R$ 276,03;R$ 362,86;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
R$1 761,18;03/11/2025;R$ 0,00;R$ 255,91;R$ 25,08;R$ 172,32;R$ 218,02;R$ 47,96;R$ 96,80;R$ 86,25;R$ 230,52;R$ 281,19;R$ 307,14;R$ 30,99;R$ 9,00;R$ 0,00;R$ 0,00
R$2 276,56;04/11/2025;R$ 0,00;R$ 97,48;R$ 190,05;R$ 110,05;R$ 70,62;R$ 113,52;R$ 159,51;R$ 307,13;R$ 328,84;R$ 400,13;R$ 262,21;R$ 213,51;R$ 23,51;R$ 0,00;R$ 0,00
R$2 452,09;05/11/2025;R$ 0,00;R$ 92,66;R$ 142,97;R$ 271,26;R$ 75,46;R$ 153,67;R$ 238,04;R$ 436,60;R$ 245,35;R$ 624,58;R$ 103,89;R$ 11,99;R$ 55,62;R$ 0,00;R$ 0,00
R$2 901,40;06/11/2025;R$ 0,00;R$ 136,35;R$ 172,78;R$ 424,36;R$ 163,16;R$ 131,36;R$ 185,00;R$ 281,14;R$ 505,12;R$ 316,00;R$ 511,29;R$ 31,68;R$ 43,16;R$ 0,00;R$ 0,00
R$4 206,12;07/11/2025;R$ 0,00;R$ 147,54;R$ 284,90;R$ 212,12;R$ 177,39;R$ 154,07;R$ 145,42;R$ 418,58;R$ 389,91;R$ 668,25;R$ 347,10;R$ 319,49;R$ 532,48;R$ 408,87;R$ 0,00
R$4 265,46;08/11/2025;R$ 0,00;R$ 274,56;R$ 323,14;R$ 290,11;R$ 340,55;R$ 71,85;R$ 508,81;R$ 460,59;R$ 363,11;R$ 719,51;R$ 478,24;R$ 390,39;R$ 44,60;R$ 0,00;R$ 0,00
R$2 135,46;09/11/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 63,60;R$ 110,69;R$ 110,22;R$ 185,22;R$ 334,75;R$ 332,78;R$ 202,06;R$ 408,43;R$ 292,72;R$ 94,99;R$ 0,00;R$ 0,00
R$2 703,53;10/11/2025;R$ 21,42;R$ 94,44;R$ 194,70;R$ 116,49;R$ 25,08;R$ 35,54;R$ 454,69;R$ 472,02;R$ 390,50;R$ 216,64;R$ 321,32;R$ 255,17;R$ 126,94;R$ 0,00;R$ 0,00
R$2 799,48;11/11/2025;R$ 0,00;R$ 151,79;R$ 174,62;R$ 73,37;R$ 82,94;R$ 201,02;R$ 46,86;R$ 379,94;R$ 632,71;R$ 385,89;R$ 455,18;R$ 215,16;R$ 0,00;R$ 0,00;R$ 0,00
R$2 173,57;12/11/2025;R$ 0,00;R$ 0,00;R$ 128,56;R$ 91,85;R$ 50,16;R$ 64,37;R$ 165,33;R$ 299,22;R$ 535,15;R$ 368,17;R$ 332,09;R$ 67,08;R$ 71,59;R$ 0,00;R$ 0,00
R$2 007,41;13/11/2025;R$ 0,00;R$ 66,11;R$ 269,79;R$ 132,99;R$ 7,15;R$ 86,87;R$ 107,27;R$ 102,03;R$ 496,51;R$ 234,92;R$ 240,40;R$ 145,11;R$ 118,26;R$ 0,00;R$ 0,00
R$2 525,80;14/11/2025;R$ 27,72;R$ 193,07;R$ 0,00;R$ 226,05;R$ 139,94;R$ 82,82;R$ 105,18;R$ 475,64;R$ 379,72;R$ 282,17;R$ 357,49;R$ 214,96;R$ 68,76;R$ 0,00;R$ 0,00
R$3 699,25;15/11/2025;R$ 0,00;R$ 91,74;R$ 457,92;R$ 163,31;R$ 142,67;R$ 140,81;R$ 292,56;R$ 511,43;R$ 546,77;R$ 717,86;R$ 355,10;R$ 178,42;R$ 100,66;R$ 0,00;R$ 0,00
R$2 036,54;16/11/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 143,25;R$ 9,81;R$ 77,46;R$ 104,31;R$ 306,62;R$ 379,83;R$ 243,96;R$ 581,21;R$ 190,09;R$ 0,00;R$ 0,00;R$ 0,00
R$2 701,90;17/11/2025;R$ 0,00;R$ 141,35;R$ 221,84;R$ 105,30;R$ 53,35;R$ 266,42;R$ 222,73;R$ 245,30;R$ 392,97;R$ 532,51;R$ 199,76;R$ 266,69;R$ 53,68;R$ 0,00;R$ 0,00
R$1 970,83;18/11/2025;R$ 0,00;R$ 39,41;R$ 245,31;R$ 31,57;R$ 60,12;R$ 185,55;R$ 268,51;R$ 138,48;R$ 392,38;R$ 169,95;R$ 329,14;R$ 89,54;R$ 20,87;R$ 0,00;R$ 0,00
R$2 669,79;19/11/2025;R$ 0,00;R$ 23,00;R$ 144,34;R$ 191,45;R$ 132,05;R$ 190,42;R$ 11,81;R$ 245,66;R$ 396,90;R$ 471,15;R$ 451,18;R$ 395,93;R$ 15,90;R$ 0,00;R$ 0,00
R$1 815,59;20/11/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 105,06;R$ 45,90;R$ 14,00;R$ 117,48;R$ 357,99;R$ 395,12;R$ 223,57;R$ 174,37;R$ 251,97;R$ 130,13;R$ 0,00;R$ 0,00
R$3 023,35;21/11/2025;R$ 0,00;R$ 87,23;R$ 212,11;R$ 61,09;R$ 218,15;R$ 282,18;R$ 185,57;R$ 411,27;R$ 614,82;R$ 425,43;R$ 270,88;R$ 140,03;R$ 114,59;R$ 0,00;R$ 0,00
R$3 261,72;22/11/2025;R$ 0,00;R$ 97,85;R$ 139,82;R$ 193,37;R$ 91,50;R$ 218,30;R$ 343,55;R$ 624,96;R$ 389,62;R$ 493,90;R$ 346,00;R$ 216,70;R$ 106,15;R$ 0,00;R$ 0,00
R$1 711,83;23/11/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 180,89;R$ 52,67;R$ 214,46;R$ 0,00;R$ 254,32;R$ 663,19;R$ 90,75;R$ 115,85;R$ 139,70;R$ 0,00;R$ 0,00;R$ 0,00
R$2 092,50;24/11/2025;R$ 0,00;R$ 0,00;R$ 148,84;R$ 120,70;R$ 181,21;R$ 40,38;R$ 204,49;R$ 202,23;R$ 266,40;R$ 315,32;R$ 326,37;R$ 225,39;R$ 61,17;R$ 0,00;R$ 0,00
R$2 002,75;25/11/2025;R$ 0,00;R$ 152,09;R$ 140,58;R$ 92,95;R$ 10,89;R$ 92,75;R$ 266,22;R$ 316,49;R$ 252,28;R$ 376,81;R$ 163,79;R$ 0,00;R$ 137,90;R$ 0,00;R$ 0,00
R$1 783,69;26/11/2025;R$ 43,78;R$ 98,58;R$ 44,77;R$ 0,00;R$ 71,57;R$ 170,25;R$ 105,93;R$ 228,44;R$ 455,07;R$ 307,31;R$ 166,22;R$ 0,00;R$ 135,55;R$ 0,00;R$ 0,00
R$2 641,33;27/11/2025;R$ 22,32;R$ 26,37;R$ 276,43;R$ 108,58;R$ 69,17;R$ 242,03;R$ 274,15;R$ 341,13;R$ 391,22;R$ 603,96;R$ 176,00;R$ 114,80;R$ 17,49;R$ 0,00;R$ 0,00
R$3 562,39;28/11/2025;R$ 0,00;R$ 100,93;R$ 335,33;R$ 82,94;R$ 15,29;R$ 290,53;R$ 214,01;R$ 401,42;R$ 560,28;R$ 776,54;R$ 261,85;R$ 279,18;R$ 244,09;R$ 0,00;R$ 0,00
R$2 110,98;29/11/2025;R$ 0,00;R$ 32,79;R$ 269,49;R$ 67,58;R$ 206,95;R$ 385,63;R$ 94,17;R$ 305,69;R$ 191,26;R$ 140,45;R$ 349,34;R$ 44,77;R$ 22,86;R$ 0,00;R$ 0,00
R$1 548,46;30/11/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 52,03;R$ 70,38;R$ 78,51;R$ 243,10;R$ 228,14;R$ 165,08;R$ 467,20;R$ 115,36;R$ 128,66;R$ 0,00;R$ 0,00;R$ 0,00
R$2 153,93;01/12/2025;R$ 0,00;R$ 64,57;R$ 0,00;R$ 193,07;R$ 86,67;R$ 84,59;R$ 193,25;R$ 234,08;R$ 700,34;R$ 313,94;R$ 117,37;R$ 106,98;R$ 59,07;R$ 0,00;R$ 0,00
R$2 905,72;02/12/2025;R$ 0,00;R$ 97,16;R$ 334,95;R$ 94,45;R$ 147,84;R$ 94,16;R$ 40,70;R$ 251,22;R$ 818,18;R$ 650,91;R$ 109,00;R$ 136,76;R$ 130,39;R$ 0,00;R$ 0,00
R$3 195,55;03/12/2025;R$ 0,00;R$ 163,35;R$ 236,35;R$ 130,24;R$ 36,90;R$ 191,62;R$ 411,48;R$ 504,13;R$ 676,08;R$ 478,23;R$ 310,19;R$ 56,98;R$ 0,00;R$ 0,00;R$ 0,00
R$2 878,51;04/12/2025;R$ 0,00;R$ 113,05;R$ 320,58;R$ 104,17;R$ 299,31;R$ 212,47;R$ 91,98;R$ 264,11;R$ 522,88;R$ 333,82;R$ 440,78;R$ 151,65;R$ 23,71;R$ 0,00;R$ 0,00
R$3 713,82;05/12/2025;R$ 0,00;R$ 95,38;R$ 322,89;R$ 338,66;R$ 176,49;R$ 8,80;R$ 175,46;R$ 332,40;R$ 394,35;R$ 801,32;R$ 233,09;R$ 524,66;R$ 310,32;R$ 0,00;R$ 0,00
R$4 635,10;06/12/2025;R$ 0,00;R$ 225,73;R$ 120,78;R$ 233,47;R$ 234,73;R$ 293,83;R$ 728,46;R$ 496,55;R$ 573,36;R$ 594,80;R$ 465,19;R$ 489,53;R$ 96,97;R$ 81,70;R$ 0,00
R$2 286,63;07/12/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 70,03;R$ 59,59;R$ 0,00;R$ 266,93;R$ 164,11;R$ 650,47;R$ 265,97;R$ 295,20;R$ 413,46;R$ 100,87;R$ 0,00;R$ 0,00
R$2 527,82;08/12/2025;R$ 0,00;R$ 0,00;R$ 95,15;R$ 103,20;R$ 102,81;R$ 76,20;R$ 181,38;R$ 467,64;R$ 619,13;R$ 463,54;R$ 368,39;R$ 0,00;R$ 50,38;R$ 0,00;R$ 0,00
R$2 093,78;09/12/2025;R$ 0,00;R$ 66,43;R$ 145,74;R$ 168,05;R$ 161,34;R$ 85,98;R$ 149,82;R$ 398,96;R$ 358,39;R$ 208,06;R$ 248,05;R$ 61,49;R$ 41,47;R$ 0,00;R$ 0,00
R$2 159,04;10/12/2025;R$ 0,00;R$ 62,61;R$ 141,66;R$ 56,84;R$ 99,69;R$ 210,21;R$ 149,14;R$ 296,87;R$ 191,33;R$ 222,82;R$ 203,85;R$ 355,48;R$ 168,54;R$ 0,00;R$ 0,00
R$2 816,39;11/12/2025;R$ 0,00;R$ 100,66;R$ 211,93;R$ 246,40;R$ 157,82;R$ 0,00;R$ 155,42;R$ 413,45;R$ 621,06;R$ 160,74;R$ 553,59;R$ 153,85;R$ 41,47;R$ 0,00;R$ 0,00
R$3 007,99;12/12/2025;R$ 0,00;R$ 29,59;R$ 372,99;R$ 196,20;R$ 201,36;R$ 150,94;R$ 149,86;R$ 82,58;R$ 658,16;R$ 622,29;R$ 305,08;R$ 238,94;R$ 0,00;R$ 0,00;R$ 0,00
R$4 734,25;13/12/2025;R$ 0,00;R$ 133,17;R$ 380,05;R$ 296,04;R$ 177,37;R$ 346,61;R$ 324,49;R$ 279,52;R$ 788,96;R$ 746,43;R$ 553,69;R$ 684,02;R$ 23,90;R$ 0,00;R$ 0,00
R$2 195,64;14/12/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 11,99;R$ 53,09;R$ 52,69;R$ 153,75;R$ 173,85;R$ 405,88;R$ 435,06;R$ 630,04;R$ 279,29;R$ 0,00;R$ 0,00;R$ 0,00
R$2 769,94;15/12/2025;R$ 0,00;R$ 143,55;R$ 84,21;R$ 171,60;R$ 10,00;R$ 150,60;R$ 181,57;R$ 348,84;R$ 531,41;R$ 246,80;R$ 466,02;R$ 382,25;R$ 53,09;R$ 0,00;R$ 0,00
R$2 231,31;16/12/2025;R$ 0,00;R$ 74,99;R$ 220,54;R$ 7,00;R$ 156,27;R$ 145,45;R$ 380,70;R$ 109,71;R$ 236,72;R$ 300,75;R$ 448,94;R$ 150,24;R$ 0,00;R$ 0,00;R$ 0,00
R$2 795,16;17/12/2025;R$ 0,00;R$ 43,89;R$ 227,93;R$ 449,24;R$ 93,24;R$ 26,40;R$ 213,95;R$ 136,22;R$ 273,81;R$ 495,62;R$ 416,13;R$ 277,09;R$ 85,87;R$ 55,77;R$ 0,00
R$4 237,83;18/12/2025;R$ 0,00;R$ 113,07;R$ 190,53;R$ 33,99;R$ 116,16;R$ 135,63;R$ 619,96;R$ 99,66;R$ 773,25;R$ 610,85;R$ 712,00;R$ 563,07;R$ 109,66;R$ 160,00;R$ 0,00
R$4 754,19;19/12/2025;R$ 25,11;R$ 26,40;R$ 360,27;R$ 390,04;R$ 176,33;R$ 84,26;R$ 428,75;R$ 578,17;R$ 228,07;R$ 783,17;R$ 848,81;R$ 518,64;R$ 267,63;R$ 63,65;R$ 0,00
R$5 374,53;20/12/2025;R$ 0,00;R$ 489,54;R$ 194,09;R$ 316,89;R$ 363,04;R$ 499,95;R$ 291,21;R$ 593,17;R$ 895,88;R$ 531,65;R$ 464,54;R$ 498,85;R$ 215,92;R$ 19,80;R$ 0,00
R$2 456,50;21/12/2025;R$ 26,01;R$ 240,90;R$ 255,72;R$ 40,59;R$ 139,37;R$ 154,43;R$ 179,36;R$ 179,63;R$ 243,15;R$ 477,92;R$ 424,67;R$ 109,96;R$ 10,80;R$ 0,00;R$ 0,00
R$4 251,33;22/12/2025;R$ 31,80;R$ 69,96;R$ 440,49;R$ 410,52;R$ 155,15;R$ 287,31;R$ 319,41;R$ 400,30;R$ 715,88;R$ 348,97;R$ 556,07;R$ 301,18;R$ 216,37;R$ 29,72;R$ 5,52
R$2 722,60;23/12/2025;R$ 240,21;R$ 145,64;R$ 167,34;R$ 238,04;R$ 234,61;R$ 319,45;R$ 112,78;R$ 294,24;R$ 61,19;R$ 334,71;R$ 285,51;R$ 362,16;R$ 75,08;R$ 91,85;R$ 0,00
R$1 461,91;24/12/2025;R$ 96,69;R$ 182,96;R$ 161,44;R$ 65,39;R$ 482,12;R$ 257,34;R$ 88,82;R$ 168,05;R$ 55,79;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
R$1 981,22;26/12/2025;R$ 0,00;R$ 154,03;R$ 233,50;R$ 41,90;R$ 129,65;R$ 172,78;R$ 49,09;R$ 206,97;R$ 212,25;R$ 142,45;R$ 421,98;R$ 98,26;R$ 118,36;R$ 0,00;R$ 0,00
R$2 992,71;27/12/2025;R$ 0,00;R$ 68,16;R$ 300,83;R$ 81,17;R$ 125,50;R$ 187,99;R$ 279,23;R$ 282,29;R$ 195,65;R$ 562,18;R$ 306,00;R$ 325,79;R$ 277,92;R$ 0,00;R$ 0,00
R$1 161,89;28/12/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 28,89;R$ 47,01;R$ 54,80;R$ 12,10;R$ 0,00;R$ 283,53;R$ 238,73;R$ 36,00;R$ 460,83;R$ 0,00;R$ 0,00;R$ 0,00
R$2 808,35;29/12/2025;R$ 0,00;R$ 63,98;R$ 264,67;R$ 58,08;R$ 264,77;R$ 185,93;R$ 96,76;R$ 225,54;R$ 451,86;R$ 496,21;R$ 343,27;R$ 231,33;R$ 76,67;R$ 49,28;R$ 0,00
R$2 897,56;30/12/2025;R$ 0,00;R$ 33,14;R$ 152,02;R$ 313,68;R$ 133,07;R$ 17,90;R$ 184,35;R$ 306,97;R$ 302,57;R$ 678,71;R$ 446,45;R$ 266,33;R$ 62,37;R$ 0,00;R$ 0,00
R$1 646,16;31/12/2025;R$ 0,00;R$ 89,11;R$ 545,41;R$ 416,26;R$ 239,76;R$ 176,86;R$ 119,47;R$ 59,29;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
R$2 554,32;02/01/2026;R$ 0,00;R$ 318,28;R$ 51,78;R$ 284,06;R$ 75,41;R$ 59,40;R$ 301,30;R$ 223,65;R$ 247,98;R$ 428,37;R$ 348,07;R$ 94,16;R$ 63,47;R$ 58,39;R$ 0,00
R$2 924,82;03/01/2026;R$ 0,00;R$ 71,88;R$ 393,14;R$ 61,38;R$ 259,43;R$ 376,05;R$ 157,09;R$ 178,80;R$ 482,87;R$ 244,33;R$ 353,20;R$ 314,97;R$ 31,68;R$ 0,00;R$ 0,00
R$1 401,82;04/01/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 64,88;R$ 103,07;R$ 0,00;R$ 88,90;R$ 140,29;R$ 275,88;R$ 200,42;R$ 367,42;R$ 113,26;R$ 47,70;R$ 0,00;R$ 0,00
R$2 826,40;05/01/2026;R$ 0,00;R$ 74,47;R$ 180,73;R$ 245,26;R$ 244,10;R$ 19,80;R$ 122,87;R$ 149,95;R$ 553,76;R$ 529,97;R$ 308,07;R$ 192,84;R$ 204,58;R$ 0,00;R$ 0,00
R$2 567,03;06/01/2026;R$ 0,00;R$ 138,05;R$ 519,81;R$ 164,16;R$ 35,00;R$ 290,92;R$ 167,66;R$ 279,80;R$ 181,72;R$ 218,02;R$ 299,08;R$ 272,81;R$ 0,00;R$ 0,00;R$ 0,00
R$2 637,81;07/01/2026;R$ 0,00;R$ 73,19;R$ 141,24;R$ 78,98;R$ 27,39;R$ 109,79;R$ 88,44;R$ 895,74;R$ 457,36;R$ 310,90;R$ 199,81;R$ 125,61;R$ 129,36;R$ 0,00;R$ 0,00
R$3 381,06;08/01/2026;R$ 0,00;R$ 199,21;R$ 201,52;R$ 133,26;R$ 385,70;R$ 172,27;R$ 161,04;R$ 453,60;R$ 371,16;R$ 390,98;R$ 619,66;R$ 144,46;R$ 148,20;R$ 0,00;R$ 0,00
R$3 092,10;09/01/2026;R$ 0,00;R$ 45,98;R$ 67,37;R$ 83,10;R$ 208,44;R$ 335,91;R$ 195,86;R$ 508,72;R$ 411,98;R$ 404,15;R$ 359,82;R$ 272,00;R$ 184,47;R$ 14,30;R$ 0,00
R$3 224,46;10/01/2026;R$ 0,00;R$ 84,40;R$ 168,06;R$ 210,10;R$ 104,54;R$ 243,53;R$ 250,26;R$ 544,90;R$ 295,40;R$ 541,24;R$ 260,59;R$ 285,52;R$ 235,92;R$ 0,00;R$ 0,00
R$1 476,90;11/01/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 101,97;R$ 29,90;R$ 7,00;R$ 163,10;R$ 330,28;R$ 194,24;R$ 553,01;R$ 97,40;R$ 0,00;R$ 0,00;R$ 0,00
R$2 491,70;12/01/2026;R$ 0,00;R$ 19,90;R$ 104,28;R$ 73,13;R$ 161,26;R$ 41,69;R$ 243,72;R$ 185,13;R$ 571,21;R$ 186,65;R$ 643,02;R$ 146,86;R$ 44,68;R$ 70,17;R$ 0,00
